scenario,family,n,replications,nominal_contamination,ci_coverage,type_i_error,median_abs_skewness,p90_abs_skewness,median_abs_excess_kurtosis,p90_abs_excess_kurtosis,mean_outlier_fraction,p90_outlier_fraction,shape_pass_rate,shape_warn_rate,shape_fail_rate,decision_acceptable_rate,decision_caution_rate,decision_insufficient_rate
exponential,exponential,10,1000,0.0,0.905,0.095,1.1256581594767363,2.22857836207943,1.2268476962262698,5.551495314982263,0.0586,0.2,0.394,0.463,0.143,0.384,0.01,0.606
exponential,exponential,20,1000,0.0,0.913,0.087,1.3129377825969009,2.3416943634543057,1.3365691848002355,6.3423603266400015,0.0516,0.15,0.149,0.657,0.194,0.148,0.001,0.851
exponential,exponential,30,1000,0.0,0.938,0.062,1.411999032842829,2.484837250541127,1.8518662752372763,7.74642601158705,0.04566666666666666,0.1,0.033,0.746,0.221,0.032,0.001,0.967
exponential,exponential,40,1000,0.0,0.927,0.073,1.5166790194783937,2.44894461988215,2.2252422926636215,7.79270551535206,0.046675,0.1,0.006,0.758,0.236,0.006,0.132,0.862
exponential,exponential,50,1000,0.0,0.93,0.07,1.5857077130719341,2.4447794087441244,2.5867241582652354,7.7989203467303465,0.0455,0.1,0.001,0.739,0.26,0.001,0.101,0.898
exponential,exponential,80,1000,0.0,0.944,0.056,1.709538796123295,2.5677799087255186,3.2837906686779776,9.105790839741081,0.044175,0.075,0.0,0.707,0.293,0.0,0.694,0.306
exponential,exponential,100,1000,0.0,0.935,0.065,1.7187482045433633,2.451123539977281,3.35098251420916,8.757943063897699,0.044220000000000016,0.08,0.0,0.706,0.294,0.0,0.695,0.305
exponential,exponential,200,1000,0.0,0.944,0.056,1.8119411508700942,2.456779780419356,4.052150990849148,9.20014388090291,0.04184,0.065,0.0,0.664,0.336,0.0,0.664,0.336
gamma_shape_2,gamma,10,1000,0.0,0.921,0.079,0.788483089645186,1.838200756810525,1.0738379574813328,3.865289840729294,0.0375,0.1,0.593,0.344,0.063,0.574,0.019,0.407
gamma_shape_2,gamma,20,1000,0.0,0.944,0.056,1.0019664539181052,1.816676864462643,0.9472271676344013,4.056979491252901,0.028599999999999997,0.1,0.396,0.535,0.069,0.387,0.009,0.604
gamma_shape_2,gamma,30,1000,0.0,0.933,0.067,1.0756816343298905,1.8384132074097694,0.9925288886020096,4.372042069732934,0.0264,0.06666666666666667,0.212,0.719,0.069,0.208,0.004,0.788
gamma_shape_2,gamma,40,1000,0.0,0.934,0.066,1.1486200070450632,1.9799110713152108,1.1337980027760879,5.210722930845661,0.023500000000000004,0.05,0.118,0.786,0.096,0.113,0.271,0.616
gamma_shape_2,gamma,50,1000,0.0,0.934,0.066,1.1449263566933157,1.8929226042875438,1.2195164112448031,5.038473512214123,0.02172,0.06,0.05,0.877,0.073,0.049,0.325,0.626
gamma_shape_2,gamma,80,1000,0.0,0.948,0.052,1.2165333657892643,1.8349783144487308,1.4814496651922466,5.0865279757689414,0.0210625,0.05,0.002,0.93,0.068,0.002,0.93,0.068
gamma_shape_2,gamma,100,1000,0.0,0.947,0.053,1.2397149008728947,1.8481994102761359,1.7079155542716085,5.261880740189088,0.02017,0.04,0.0,0.93,0.07,0.0,0.93,0.07
gamma_shape_2,gamma,200,1000,0.0,0.949,0.051,1.3030114856344786,1.7777988002054268,2.0845163988243196,4.995149529489572,0.019145000000000002,0.035,0.0,0.955,0.045,0.0,0.959,0.041
